1, -1.997284
2, -1.742272
3, -0.811652
4, -0.554952
5, -0.43084
6, -0.35062
7, -0.29884
8, -0.256332
9, -0.231444
10, -0.2025
11, -0.18178
12, -0.168332
13, -0.160756
14, -0.137992
15, -0.132884
16, -0.123748
17, -0.117848
18, -0.105108
19, -0.113316
20, -0.10268
21, -0.096004
22, -0.077216
23, -0.077216
24, -0.08302
25, -0.077712
26, -0.0748
27, -0.07308
28, -0.06582
29, -0.07526
30, -0.06402
31, -0.063216
32, -0.062544
33, -0.067064
34, -0.056292
35, -0.051108
36, -0.059276
37, -0.067512
38, -0.055252
39, -0.057992
40, -0.058904
41, -0.045936
42, -0.050168
43, -0.05326
44, -0.05102
45, -0.045568
46, -0.03936
47, -0.036068
48, -0.035348
49, -0.040916
50, -0.040148
51, -0.027524
52, -0.04634
53, -0.034784
54, -0.035648
55, -0.041756
56, -0.040888
57, -0.033808
58, -0.032264
59, -0.03254
60, -0.025448
61, -0.026436
62, -0.037712
63, -0.018712
64, -0.031788
65, -0.023336
66, 3.2e-05
67, 0.046892
68, -0.010068
69, 0.049392
70, 0.0079
71, 0.023888
72, 0.031332
73, 0.0405
74, 0.040732
75, 0.077792
76, 0.071324
77, 0.085888
78, 0.069644
79, 0.143916
80, 0.13646
81, 0.117448
82, 0.160656
83, 0.219156
84, 0.070404
85, 0.203112
86, 0.179868
87, 0.203368
88, 0.184936
89, 0.228348
90, 0.256388
91, 0.231776
92, 0.286276
93, 0.240836
94, 0.318724
95, 0.253664
96, 0.302444
97, 0.308108
98, 0.296756
99, 0.341172
100, 0.338276
